pk,address,city,state,zip_code,unit_number,sq_ft,bedrooms,baths,property,building
177,10464 S. Jordan Gateway,South Jordan,UT,84095,276,839,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
178,10464 S. Jordan Gateway,South Jordan,UT,84095,277,799,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
179,10464 S. Jordan Gateway,South Jordan,UT,84095,278,745,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
180,10464 S. Jordan Gateway,South Jordan,UT,84095,279,764,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
181,10464 S. Jordan Gateway,South Jordan,UT,84095,280,891,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
182,10464 S. Jordan Gateway,South Jordan,UT,84095,281,783,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
183,10464 S. Jordan Gateway,South Jordan,UT,84095,282,702,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
184,10464 S. Jordan Gateway,South Jordan,UT,84095,283,794,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
185,10464 S. Jordan Gateway,South Jordan,UT,84095,284,849,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
186,10464 S. Jordan Gateway,South Jordan,UT,84095,285,815,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
187,10464 S. Jordan Gateway,South Jordan,UT,84095,286,876,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
188,10464 S. Jordan Gateway,South Jordan,UT,84095,287,842,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
189,10464 S. Jordan Gateway,South Jordan,UT,84095,288,802,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
190,10464 S. Jordan Gateway,South Jordan,UT,84095,289,796,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
191,10464 S. Jordan Gateway,South Jordan,UT,84095,290,730,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
192,10464 S. Jordan Gateway,South Jordan,UT,84095,291,736,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
193,10464 S. Jordan Gateway,South Jordan,UT,84095,292,858,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
194,10464 S. Jordan Gateway,South Jordan,UT,84095,293,751,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
195,10464 S. Jordan Gateway,South Jordan,UT,84095,294,865,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
196,10464 S. Jordan Gateway,South Jordan,UT,84095,295,785,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
197,10464 S. Jordan Gateway,South Jordan,UT,84095,296,887,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
198,10464 S. Jordan Gateway,South Jordan,UT,84095,297,708,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
199,10464 S. Jordan Gateway,South Jordan,UT,84095,298,858,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
200,10464 S. Jordan Gateway,South Jordan,UT,84095,299,821,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
201,10464 S. Jordan Gateway,South Jordan,UT,84095,300,865,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
202,10464 S. Jordan Gateway,South Jordan,UT,84095,301,737,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
203,10464 S. Jordan Gateway,South Jordan,UT,84095,302,754,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
204,10464 S. Jordan Gateway,South Jordan,UT,84095,303,874,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
205,10464 S. Jordan Gateway,South Jordan,UT,84095,304,874,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
206,10464 S. Jordan Gateway,South Jordan,UT,84095,305,850,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
207,10464 S. Jordan Gateway,South Jordan,UT,84095,306,802,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
208,10464 S. Jordan Gateway,South Jordan,UT,84095,307,766,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
209,10464 S. Jordan Gateway,South Jordan,UT,84095,308,898,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
210,10464 S. Jordan Gateway,South Jordan,UT,84095,309,819,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
211,10464 S. Jordan Gateway,South Jordan,UT,84095,310,792,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
212,10464 S. Jordan Gateway,South Jordan,UT,84095,311,866,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
213,10464 S. Jordan Gateway,South Jordan,UT,84095,312,838,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
214,10464 S. Jordan Gateway,South Jordan,UT,84095,313,812,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
215,10464 S. Jordan Gateway,South Jordan,UT,84095,314,752,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
216,10464 S. Jordan Gateway,South Jordan,UT,84095,315,714,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
217,10464 S. Jordan Gateway,South Jordan,UT,84095,316,807,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
218,10464 S. Jordan Gateway,South Jordan,UT,84095,317,757,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
219,10464 S. Jordan Gateway,South Jordan,UT,84095,318,899,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
220,10464 S. Jordan Gateway,South Jordan,UT,84095,319,879,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
221,10464 S. Jordan Gateway,South Jordan,UT,84095,320,878,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
222,10464 S. Jordan Gateway,South Jordan,UT,84095,321,775,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
223,10464 S. Jordan Gateway,South Jordan,UT,84095,322,728,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
224,10464 S. Jordan Gateway,South Jordan,UT,84095,323,877,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
225,10464 S. Jordan Gateway,South Jordan,UT,84095,324,721,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
226,10464 S. Jordan Gateway,South Jordan,UT,84095,325,881,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
227,10464 S. Jordan Gateway,South Jordan,UT,84095,326,781,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
228,10464 S. Jordan Gateway,South Jordan,UT,84095,327,766,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
229,10464 S. Jordan Gateway,South Jordan,UT,84095,328,897,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
230,10464 S. Jordan Gateway,South Jordan,UT,84095,329,819,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
231,10464 S. Jordan Gateway,South Jordan,UT,84095,330,815,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
232,10464 S. Jordan Gateway,South Jordan,UT,84095,331,808,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
233,10464 S. Jordan Gateway,South Jordan,UT,84095,332,868,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
234,10464 S. Jordan Gateway,South Jordan,UT,84095,333,700,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
235,10464 S. Jordan Gateway,South Jordan,UT,84095,334,761,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
236,10464 S. Jordan Gateway,South Jordan,UT,84095,335,888,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
237,10464 S. Jordan Gateway,South Jordan,UT,84095,336,724,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
238,10464 S. Jordan Gateway,South Jordan,UT,84095,337,748,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
239,10464 S. Jordan Gateway,South Jordan,UT,84095,338,784,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
240,10464 S. Jordan Gateway,South Jordan,UT,84095,339,751,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
241,10464 S. Jordan Gateway,South Jordan,UT,84095,340,700,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
242,10464 S. Jordan Gateway,South Jordan,UT,84095,341,723,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
243,10464 S. Jordan Gateway,South Jordan,UT,84095,342,847,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
244,10464 S. Jordan Gateway,South Jordan,UT,84095,343,768,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
245,10464 S. Jordan Gateway,South Jordan,UT,84095,344,893,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
246,10464 S. Jordan Gateway,South Jordan,UT,84095,345,834,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
247,10464 S. Jordan Gateway,South Jordan,UT,84095,346,711,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
248,10464 S. Jordan Gateway,South Jordan,UT,84095,347,842,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
249,10464 S. Jordan Gateway,South Jordan,UT,84095,348,740,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
250,10464 S. Jordan Gateway,South Jordan,UT,84095,349,702,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
251,10464 S. Jordan Gateway,South Jordan,UT,84095,350,724,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
252,10464 S. Jordan Gateway,South Jordan,UT,84095,351,734,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
253,10464 S. Jordan Gateway,South Jordan,UT,84095,352,884,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
254,10464 S. Jordan Gateway,South Jordan,UT,84095,353,765,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
255,10464 S. Jordan Gateway,South Jordan,UT,84095,354,859,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
256,10464 S. Jordan Gateway,South Jordan,UT,84095,355,813,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
257,10464 S. Jordan Gateway,South Jordan,UT,84095,356,753,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
258,10464 S. Jordan Gateway,South Jordan,UT,84095,357,804,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
259,10464 S. Jordan Gateway,South Jordan,UT,84095,358,726,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
260,10464 S. Jordan Gateway,South Jordan,UT,84095,359,727,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
261,10464 S. Jordan Gateway,South Jordan,UT,84095,360,728,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
262,10464 S. Jordan Gateway,South Jordan,UT,84095,361,872,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
263,10464 S. Jordan Gateway,South Jordan,UT,84095,362,833,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
264,10464 S. Jordan Gateway,South Jordan,UT,84095,363,707,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
265,10464 S. Jordan Gateway,South Jordan,UT,84095,364,863,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
266,10464 S. Jordan Gateway,South Jordan,UT,84095,365,780,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
267,10464 S. Jordan Gateway,South Jordan,UT,84095,366,809,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
268,10464 S. Jordan Gateway,South Jordan,UT,84095,367,755,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
269,10464 S. Jordan Gateway,South Jordan,UT,84095,368,900,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
270,10464 S. Jordan Gateway,South Jordan,UT,84095,369,836,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
271,10464 S. Jordan Gateway,South Jordan,UT,84095,370,764,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
272,10464 S. Jordan Gateway,South Jordan,UT,84095,371,766,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
273,10464 S. Jordan Gateway,South Jordan,UT,84095,372,822,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
274,10464 S. Jordan Gateway,South Jordan,UT,84095,373,722,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
275,10464 S. Jordan Gateway,South Jordan,UT,84095,374,807,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
276,10464 S. Jordan Gateway,South Jordan,UT,84095,375,780,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
277,10464 S. Jordan Gateway,South Jordan,UT,84095,376,776,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
278,10464 S. Jordan Gateway,South Jordan,UT,84095,377,759,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
279,10464 S. Jordan Gateway,South Jordan,UT,84095,378,844,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
280,10464 S. Jordan Gateway,South Jordan,UT,84095,379,702,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
281,10464 S. Jordan Gateway,South Jordan,UT,84095,380,859,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
282,10464 S. Jordan Gateway,South Jordan,UT,84095,381,812,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
283,10464 S. Jordan Gateway,South Jordan,UT,84095,382,756,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
284,10464 S. Jordan Gateway,South Jordan,UT,84095,383,862,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
285,10464 S. Jordan Gateway,South Jordan,UT,84095,384,814,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
286,10464 S. Jordan Gateway,South Jordan,UT,84095,385,816,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
287,10464 S. Jordan Gateway,South Jordan,UT,84095,386,866,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
288,10464 S. Jordan Gateway,South Jordan,UT,84095,387,742,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
289,10464 S. Jordan Gateway,South Jordan,UT,84095,388,785,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
290,10464 S. Jordan Gateway,South Jordan,UT,84095,389,844,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
291,10464 S. Jordan Gateway,South Jordan,UT,84095,390,720,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
292,10464 S. Jordan Gateway,South Jordan,UT,84095,391,898,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
293,10464 S. Jordan Gateway,South Jordan,UT,84095,392,868,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
294,10464 S. Jordan Gateway,South Jordan,UT,84095,393,796,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
295,10464 S. Jordan Gateway,South Jordan,UT,84095,394,883,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
296,10464 S. Jordan Gateway,South Jordan,UT,84095,395,782,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
297,10464 S. Jordan Gateway,South Jordan,UT,84095,396,805,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
298,10464 S. Jordan Gateway,South Jordan,UT,84095,397,860,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
299,10464 S. Jordan Gateway,South Jordan,UT,84095,398,794,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
300,10464 S. Jordan Gateway,South Jordan,UT,84095,399,854,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
301,10464 S. Jordan Gateway,South Jordan,UT,84095,400,835,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
302,10464 S. Jordan Gateway,South Jordan,UT,84095,401,890,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
303,10464 S. Jordan Gateway,South Jordan,UT,84095,402,718,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
304,10464 S. Jordan Gateway,South Jordan,UT,84095,403,786,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
305,10464 S. Jordan Gateway,South Jordan,UT,84095,404,875,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
306,10464 S. Jordan Gateway,South Jordan,UT,84095,405,859,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
307,10464 S. Jordan Gateway,South Jordan,UT,84095,406,729,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
308,10464 S. Jordan Gateway,South Jordan,UT,84095,407,750,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
309,10464 S. Jordan Gateway,South Jordan,UT,84095,408,795,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
310,10464 S. Jordan Gateway,South Jordan,UT,84095,409,839,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
311,10464 S. Jordan Gateway,South Jordan,UT,84095,410,756,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
312,10464 S. Jordan Gateway,South Jordan,UT,84095,411,898,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
313,10464 S. Jordan Gateway,South Jordan,UT,84095,412,815,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
314,10464 S. Jordan Gateway,South Jordan,UT,84095,413,883,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
315,10464 S. Jordan Gateway,South Jordan,UT,84095,414,724,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
316,10464 S. Jordan Gateway,South Jordan,UT,84095,415,795,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
317,10464 S. Jordan Gateway,South Jordan,UT,84095,416,783,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
318,10464 S. Jordan Gateway,South Jordan,UT,84095,417,869,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
319,10464 S. Jordan Gateway,South Jordan,UT,84095,418,720,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
320,10464 S. Jordan Gateway,South Jordan,UT,84095,419,778,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
321,10464 S. Jordan Gateway,South Jordan,UT,84095,420,866,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
322,10464 S. Jordan Gateway,South Jordan,UT,84095,421,807,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
323,10464 S. Jordan Gateway,South Jordan,UT,84095,422,729,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
324,10464 S. Jordan Gateway,South Jordan,UT,84095,423,703,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
325,10464 S. Jordan Gateway,South Jordan,UT,84095,424,706,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
326,10464 S. Jordan Gateway,South Jordan,UT,84095,425,789,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
327,10464 S. Jordan Gateway,South Jordan,UT,84095,426,838,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
328,10464 S. Jordan Gateway,South Jordan,UT,84095,427,718,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
329,10464 S. Jordan Gateway,South Jordan,UT,84095,428,890,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
330,10464 S. Jordan Gateway,South Jordan,UT,84095,429,751,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
331,10464 S. Jordan Gateway,South Jordan,UT,84095,430,759,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
332,10464 S. Jordan Gateway,South Jordan,UT,84095,431,752,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
333,10464 S. Jordan Gateway,South Jordan,UT,84095,432,898,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
334,10464 S. Jordan Gateway,South Jordan,UT,84095,433,725,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
335,10464 S. Jordan Gateway,South Jordan,UT,84095,434,866,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
336,10464 S. Jordan Gateway,South Jordan,UT,84095,435,709,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
337,10464 S. Jordan Gateway,South Jordan,UT,84095,436,887,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
338,10464 S. Jordan Gateway,South Jordan,UT,84095,437,849,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
339,10464 S. Jordan Gateway,South Jordan,UT,84095,438,894,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
340,10464 S. Jordan Gateway,South Jordan,UT,84095,439,754,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
341,10464 S. Jordan Gateway,South Jordan,UT,84095,440,826,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
342,10464 S. Jordan Gateway,South Jordan,UT,84095,441,842,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
343,10464 S. Jordan Gateway,South Jordan,UT,84095,442,749,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
344,10464 S. Jordan Gateway,South Jordan,UT,84095,443,786,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
345,10464 S. Jordan Gateway,South Jordan,UT,84095,444,824,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
346,10464 S. Jordan Gateway,South Jordan,UT,84095,445,745,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
347,10464 S. Jordan Gateway,South Jordan,UT,84095,446,805,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
348,10464 S. Jordan Gateway,South Jordan,UT,84095,447,702,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
349,10464 S. Jordan Gateway,South Jordan,UT,84095,448,702,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
350,10464 S. Jordan Gateway,South Jordan,UT,84095,449,740,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
351,10464 S. Jordan Gateway,South Jordan,UT,84095,450,880,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
352,10464 S. Jordan Gateway,South Jordan,UT,84095,451,791,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
